open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1672531200000,16537.50,16538.00,16517.40,16517.40,1519.880,1672532099999,25119420.27800,9087,607.483,10039870.98490,0
1672532100000,16517.40,16540.90,16513.40,16539.40,1312.854,1672532999999,21699774.43960,7474,765.737,12657345.26290,0
1672533000000,16539.30,16539.40,16504.00,16514.40,1806.819,1672533899999,29844686.68060,9773,753.099,12437625.06220,0
1672533900000,16514.50,16533.10,16513.90,16527.00,741.846,1672534799999,12259206.43390,5195,415.472,6865807.96240,0
1672534800000,16527.10,16539.00,16524.10,16537.30,935.879,1672535699999,15472474.14110,5576,600.744,9931655.98280,0
1672535700000,16537.20,16537.30,16528.60,16530.10,521.977,1672536599999,8629402.89160,3405,196.180,3243326.91570,0
1672536600000,16530.10,16538.60,16527.90,16535.50,652.473,1672537499999,10787180.84840,4158,379.335,6271634.49010,0
1672537500000,16535.50,16554.30,16535.10,16550.40,1100.497,1672538399999,18209490.87330,6648,757.600,12535631.54040,0
1672538400000,16550.50,16550.50,16540.00,16547.00,678.759,1672539299999,11229083.17440,4468,314.449,5201863.96110,0
1672539300000,16547.00,16552.00,16544.20,16551.90,588.611,1672540199999,9740626.69100,3763,333.959,5526595.79910,0
1672540200000,16551.90,16557.10,16535.30,16535.30,728.403,1672541099999,12054423.67910,4861,245.819,4068850.22060,0
1672541100000,16535.30,16542.50,16534.80,16542.40,403.895,1672541999999,6680529.13280,2628,262.494,4341650.94390,0
1672542000000,16542.50,16542.50,16519.50,16525.00,1501.954,1672542899999,24822287.90320,7380,525.278,8680609.78440,0
1672542900000,16525.00,16526.70,16515.00,16523.80,867.699,1672543799999,14334697.97190,5191,399.872,6606178.42400,0
1672543800000,16523.80,16531.80,16523.50,16529.40,432.007,1672544699999,7140241.84660,3224,281.890,4659050.42540,0
1672544700000,16529.30,16532.30,16526.00,16529.30,412.820,1672545599999,6823373.21230,3546,223.363,3691893.52830,0
1672545600000,16529.20,16530.40,16520.20,16520.20,574.594,1672546499999,9495526.49430,3917,230.952,3816725.68520,0
1672546500000,16520.20,16523.60,16512.00,16513.60,1166.501,1672547399999,19267885.77850,6390,598.955,9893490.61480,0
1672547400000,16513.50,16519.80,16512.40,16517.10,631.058,1672548299999,10422979.12980,5307,374.256,6181515.20950,0
1672548300000,16517.10,16520.70,16508.80,16517.80,778.801,1672549199999,12861840.44610,5323,378.935,6258395.07210,0
1672549200000,16517.80,16519.70,16508.00,16511.70,1330.227,1672550099999,21966164.37610,6212,478.098,7895484.30120,0
1672550100000,16511.80,16516.90,16508.00,16516.90,715.492,1672550999999,11814520.70620,3968,373.943,6174908.23220,0
1672551000000,16516.90,16517.00,16511.70,16513.50,431.832,1672551899999,7131534.14490,3106,211.706,3496228.30050,0
1672551900000,16513.50,16531.10,16513.50,16525.70,790.742,1672552799999,13064686.88900,5622,515.248,8512831.30500,0
1672552800000,16525.60,16538.40,16525.60,16533.20,950.233,1672553699999,15709902.21900,5750,505.594,8358625.18750,0
1672553700000,16533.20,16545.70,16533.20,16540.30,1021.094,1672554599999,16889862.40210,5869,553.093,9148524.09070,0
1672554600000,16540.20,16540.40,16535.10,16540.40,388.675,1672555499999,6427790.40790,3109,182.725,3021911.70710,0
1672555500000,16540.40,16542.00,16535.30,16535.30,366.580,1672556399999,6062709.41870,2878,99.050,1638216.26190,0
1672556400000,16535.30,16537.50,16516.90,16522.80,2119.619,1672557299999,35028022.81210,7753,1117.101,18459977.32030,0
1672557300000,16522.90,16522.90,16488.00,16514.30,4178.521,1672558199999,68954888.65390,15671,1525.678,25174804.59030,0
1672558200000,16514.30,16523.00,16495.10,16520.20,1652.024,1672559099999,27273986.44660,7625,833.274,13757426.27510,0
1672559100000,16520.10,16524.00,16514.60,16519.60,902.508,1672559999999,14909532.79610,5350,435.136,7188344.80300,0
1672560000000,16519.50,16524.90,16510.30,16510.40,1172.759,1672560899999,19370969.70460,6207,386.624,6386347.07880,0
1672560900000,16510.30,16515.70,16506.00,16515.60,788.558,1672561799999,13020117.38540,5517,357.515,5903254.31780,0
1672561800000,16515.70,16518.80,16502.80,16502.90,654.535,1672562699999,10806783.45070,4825,240.854,3976717.24450,0
1672562700000,16502.80,16506.50,16502.00,16504.20,673.909,1672563599999,11122471.05400,5037,328.235,5417266.84960,0
1672563600000,16504.30,16504.30,16496.80,16504.30,1036.082,1672564499999,17096275.14450,7235,398.906,6582400.26170,0
1672564500000,16504.30,16514.40,16504.20,16508.70,699.295,1672565399999,11545427.96050,5091,414.474,6842729.77500,0
1672565400000,16508.70,16526.50,16508.70,16526.40,776.592,1672566299999,12827734.00620,5810,588.281,9717391.41720,0
1672566300000,16526.50,16536.10,16521.00,16532.70,1436.733,1672567199999,23747793.08640,8011,726.078,12001475.49280,0
1672567200000,16532.70,16536.90,16529.00,16536.90,1180.081,1672568099999,19509683.42750,5821,553.467,9150405.15830,0
1672568100000,16536.90,16540.30,16535.40,16538.00,1017.325,1672568999999,16824871.67750,5846,492.038,8137491.51160,0
1672569000000,16537.90,16538.00,16527.30,16531.50,1165.250,1672569899999,19264211.83730,5623,425.128,7028056.94580,0
1672569900000,16531.50,16542.90,16531.50,16542.80,747.769,1672570799999,12365564.31160,4439,541.805,8959781.78100,0
1672570800000,16542.90,16547.30,16541.20,16543.10,1442.454,1672571699999,23864222.49010,7908,787.766,13033042.06680,0
1672571700000,16543.10,16543.20,16535.10,16538.90,697.422,1672572599999,11534361.16520,4482,237.432,3926636.68890,0
1672572600000,16538.90,16545.30,16536.30,16545.30,756.599,1672573499999,12515064.44520,4719,451.238,7464141.88460,0
1672573500000,16545.30,16549.80,16542.50,16549.80,871.913,1672574399999,14426543.46050,5277,462.654,7655254.53660,0
1672574400000,16549.80,16565.90,16542.90,16557.00,2615.693,1672575299999,43294981.27550,12294,1334.451,22089488.48810,0
1672575300000,16557.10,16562.40,16550.70,16555.30,1399.376,1672576199999,23168064.99880,7153,585.554,9694340.84810,0
1672576200000,16555.30,16564.00,16547.90,16547.90,939.421,1672577099999,15550309.65110,5531,320.415,5304259.46370,0
1672577100000,16547.90,16553.90,16547.20,16553.90,527.511,1672577999999,8731323.31690,3302,307.805,5094717.00120,0
1672578000000,16553.80,16559.80,16541.90,16545.80,1476.012,1672578899999,24432256.79700,7507,563.585,9329491.17010,0
1672578900000,16545.80,16545.80,16532.30,16540.50,1282.335,1672579799999,21208536.98760,6613,522.229,8637146.25610,0
1672579800000,16540.50,16541.70,16530.50,16535.90,1171.514,1672580699999,19372235.79880,6194,561.725,9288607.20050,0
1672580700000,16536.00,16540.00,16531.80,16539.90,575.395,1672581599999,9514719.56210,3936,323.600,5351078.25290,0
1672581600000,16539.90,16545.60,16538.60,16544.00,711.815,1672582499999,11774899.98120,5065,390.569,6460797.25220,0
1672582500000,16544.00,16549.70,16543.90,16549.20,425.156,1672583399999,7034989.02870,4409,284.659,4710203.51780,0
1672583400000,16549.20,16549.20,16540.50,16540.50,554.259,1672584299999,9170645.27820,3970,163.688,2708545.07950,0
1672584300000,16540.50,16540.70,16533.10,16533.10,757.214,1672585199999,12522468.05010,4919,336.207,5560291.48450,0
1672585200000,16533.20,16540.30,16533.10,16540.30,552.020,1672586099999,9128840.59840,3678,412.207,6816672.56250,0
1672586100000,16540.30,16540.30,16524.60,16534.50,1186.366,1672586999999,19612120.22220,7022,445.774,7369180.19710,0
1672587000000,16534.50,16540.90,16534.40,16540.80,398.794,1672587899999,6594979.35470,3274,286.458,4737250.01090,0
1672587900000,16540.80,16553.10,16539.00,16553.10,970.003,1672588799999,16049087.43210,5434,641.737,10618242.86490,0
1672588800000,16553.00,16579.00,16552.60,16554.80,3412.206,1672589699999,56515877.79490,15477,2041.220,33809520.52680,0
1672589700000,16554.70,16572.30,16554.70,16572.20,1797.291,1672590599999,29771849.27910,8838,1187.347,19669207.33980,0
1672590600000,16572.20,16573.80,16552.70,16558.10,1615.510,1672591499999,26760796.11670,7919,627.523,10395080.26380,0
1672591500000,16558.20,16564.00,16554.30,16556.00,657.085,1672592399999,10880582.14860,5116,321.392,5321957.07590,0
1672592400000,16556.10,16562.50,16555.50,16561.80,582.115,1672593299999,9639460.27850,4420,357.965,5927609.53020,0
1672593300000,16561.80,16589.40,16561.80,16575.10,3517.390,1672594199999,58313188.25820,15348,1986.792,32937887.10810,0
1672594200000,16575.10,16581.30,16566.40,16577.80,1209.791,1672595099999,20049609.19160,6997,658.121,10907249.55440,0
1672595100000,16577.70,16578.40,16570.00,16573.10,817.596,1672595999999,13551282.35380,5192,350.171,5804035.03520,0
1672596000000,16573.10,16597.00,16573.00,16586.40,2848.364,1672596899999,47249902.79030,12845,1643.876,27268474.15820,0
1672596900000,16586.40,16588.00,16581.20,16588.00,647.498,1672597799999,10738413.65010,4489,359.967,5969874.68620,0
1672597800000,16588.00,16591.00,16584.20,16591.00,609.496,1672598699999,10110422.16150,4444,334.626,5550957.48510,0
1672598700000,16590.90,16591.00,16578.80,16584.30,850.277,1672599599999,14100583.33820,4979,264.934,4393348.20870,0
1672599600000,16584.30,16599.00,16584.20,16599.00,1186.610,1672600499999,19691011.73880,6596,763.919,12676687.13600,0
1672600500000,16598.90,16615.80,16595.20,16613.30,3321.277,1672601399999,55150938.96840,14966,2034.310,33781566.30570,0
1672601400000,16613.20,16615.10,16603.60,16606.90,1433.769,1672602299999,23816408.35970,7849,718.539,11935820.45540,0
1672602300000,16606.90,16607.00,16584.80,16596.10,1465.141,1672603199999,24315908.78560,8052,548.716,9106190.42700,0
1672603200000,16596.10,16603.10,16595.00,16600.40,1066.573,1672604099999,17703680.15850,7387,537.158,8916080.74020,0
1672604100000,16600.50,16618.80,16600.40,16609.00,1757.737,1672604999999,29195396.42460,8556,1003.570,16669519.84730,0
1672605000000,16609.00,16616.50,16600.10,16600.60,1131.326,1672605899999,18791013.15620,6505,433.909,7207309.21660,0
1672605900000,16600.70,16604.80,16592.00,16593.80,996.359,1672606799999,16538641.40120,6314,394.392,6546548.33970,0
1672606800000,16593.70,16598.70,16584.10,16586.60,1390.660,1672607699999,23071813.18620,8032,490.020,8129665.90180,0
1672607700000,16586.60,16595.80,16586.60,16593.50,615.711,1672608599999,10216183.12570,4581,330.447,5482907.66950,0
1672608600000,16593.50,16595.50,16590.50,16592.90,560.244,1672609499999,9296204.02540,4486,201.965,3351213.50190,0
1672609500000,16592.90,16599.70,16592.90,16597.60,474.011,1672610399999,7866879.52910,4503,274.573,4556897.87240,0
1672610400000,16597.60,16605.40,16589.10,16589.20,1143.186,1672611299999,18974925.60870,6789,525.338,8720021.99970,0
1672611300000,16589.20,16592.20,16579.10,16588.20,995.864,1672612199999,16518057.33760,6509,394.106,6536864.86340,0
1672612200000,16588.30,16592.00,16584.80,16591.90,526.577,1672613099999,8735020.45900,3655,321.265,5329243.36420,0
