symbol,fundingTime,fundingRate,markPrice
ETHUSDT,1672531200000,0.00010000,
ETHUSDT,1672560000008,0.00010000,
ETHUSDT,1672588800000,0.00010000,
ETHUSDT,1672617600000,0.00010000,
ETHUSDT,1672646400008,0.00008878,
ETHUSDT,1672675200015,0.00007464,
ETHUSDT,1672704000003,0.00000890,
ETHUSDT,1672732800018,0.00005228,
ETHUSDT,1672761600000,0.00002948,
ETHUSDT,1672790400000,0.00007609,
ETHUSDT,1672819200016,0.00010000,
ETHUSDT,1672848000011,0.00010000,
ETHUSDT,1672876800009,0.00010000,
ETHUSDT,1672905600011,0.00010000,
ETHUSDT,1672934400000,0.00010000,
ETHUSDT,1672963200005,0.00010000,
ETHUSDT,1672992000001,0.00010000,
ETHUSDT,1673020800000,0.00010000,
ETHUSDT,1673049600006,0.00005444,
ETHUSDT,1673078400017,0.00004199,
ETHUSDT,1673107200000,0.00007190,
ETHUSDT,1673136000015,0.00002131,
ETHUSDT,1673164800000,0.00008826,
ETHUSDT,1673193600010,0.00008657,
ETHUSDT,1673222400003,0.00004312,
ETHUSDT,1673251200000,0.00007617,
ETHUSDT,1673280000006,0.00010000,
ETHUSDT,1673308800003,0.00010000,
ETHUSDT,1673337600021,0.00010000,
ETHUSDT,1673366400000,0.00010000,
ETHUSDT,1673395200011,0.00010000,
ETHUSDT,1673424000006,0.00010000,
ETHUSDT,1673452800004,0.00002778,
ETHUSDT,1673481600000,0.00010000,
ETHUSDT,1673510400000,0.00010000,
ETHUSDT,1673539200000,0.00010000,
ETHUSDT,1673568000004,0.00010000,
ETHUSDT,1673596800000,0.00010000,
ETHUSDT,1673625600018,0.00010000,
ETHUSDT,1673654400000,0.00010000,
ETHUSDT,1673683200001,0.00061643,
ETHUSDT,1673712000000,0.00045951,
ETHUSDT,1673740800010,0.00012412,
ETHUSDT,1673769600002,0.00030426,
ETHUSDT,1673798400000,0.00018878,
ETHUSDT,1673827200010,0.00014183,
ETHUSDT,1673856000007,0.00010000,
ETHUSDT,1673884800000,0.00010000,
ETHUSDT,1673913600004,0.00010000,
ETHUSDT,1673942400005,0.00010000,
ETHUSDT,1673971200001,0.00010000,
ETHUSDT,1674000000008,0.00010000,
ETHUSDT,1674028800009,0.00010000,
ETHUSDT,1674057600017,0.00010000,
ETHUSDT,1674086400000,0.00010000,
ETHUSDT,1674115200015,0.00010000,
ETHUSDT,1674144000012,0.00010000,
ETHUSDT,1674172800000,0.00010000,
ETHUSDT,1674201600000,0.00010000,
ETHUSDT,1674230400000,0.00010000,
ETHUSDT,1674259200013,0.00010000,
ETHUSDT,1674288000001,0.00010000,
ETHUSDT,1674316800016,0.00010000,
