symbol,fundingTime,fundingRate,markPrice
SOLUSDT,1672531200000,-0.00092452,
SOLUSDT,1672560000008,-0.00039729,
SOLUSDT,1672588800000,-0.00097445,
SOLUSDT,1672617600000,-0.00105604,
SOLUSDT,1672646400008,-0.00073395,
SOLUSDT,1672675200015,-0.00036678,
SOLUSDT,1672704000003,-0.00137389,
SOLUSDT,1672732800018,-0.00322060,
SOLUSDT,1672761600000,-0.00820119,
SOLUSDT,1672790400000,-0.00349905,
SOLUSDT,1672819200016,-0.00927078,
SOLUSDT,1672848000011,-0.00145742,
SOLUSDT,1672876800009,-0.00197574,
SOLUSDT,1672905600011,-0.00017797,
SOLUSDT,1672934400000,-0.00035808,
SOLUSDT,1672963200005,-0.00286750,
SOLUSDT,1672992000001,-0.00005103,
SOLUSDT,1673020800000,-0.00097063,
SOLUSDT,1673049600006,-0.00063098,
SOLUSDT,1673078400017,-0.00008222,
SOLUSDT,1673107200000,-0.00049317,
SOLUSDT,1673136000015,-0.00032422,
SOLUSDT,1673164800000,-0.00041686,
SOLUSDT,1673193600010,-0.00023070,
SOLUSDT,1673222400003,-0.00022750,
SOLUSDT,1673251200000,0.00010000,
SOLUSDT,1673280000006,0.00010000,
SOLUSDT,1673308800003,0.00010000,
SOLUSDT,1673337600021,0.00010000,
SOLUSDT,1673366400000,-0.00015347,
SOLUSDT,1673395200011,-0.00024850,
SOLUSDT,1673424000006,-0.00001768,
SOLUSDT,1673452800004,0.00010000,
SOLUSDT,1673481600000,0.00010000,
SOLUSDT,1673510400000,0.00010000,
SOLUSDT,1673539200000,-0.00044772,
SOLUSDT,1673568000004,-0.00005616,
SOLUSDT,1673596800000,0.00002603,
SOLUSDT,1673625600018,-0.00058902,
SOLUSDT,1673654400000,0.00010000,
SOLUSDT,1673683200001,0.00027702,
SOLUSDT,1673712000000,0.00010000,
SOLUSDT,1673740800010,0.00023978,
SOLUSDT,1673769600002,0.00036502,
SOLUSDT,1673798400000,0.00012309,
SOLUSDT,1673827200010,0.00019979,
SOLUSDT,1673856000007,0.00041624,
SOLUSDT,1673884800000,0.00010000,
SOLUSDT,1673913600004,0.00012293,
SOLUSDT,1673942400005,0.00010000,
SOLUSDT,1673971200001,0.00010000,
SOLUSDT,1674000000008,0.00010000,
SOLUSDT,1674028800009,0.00010000,
SOLUSDT,1674057600017,0.00010000,
SOLUSDT,1674086400000,0.00010000,
SOLUSDT,1674115200015,0.00010000,
SOLUSDT,1674144000012,0.00010000,
SOLUSDT,1674172800000,0.00010000,
SOLUSDT,1674201600000,0.00010000,
SOLUSDT,1674230400000,0.00010000,
SOLUSDT,1674259200013,0.00010000,
SOLUSDT,1674288000001,0.00030268,
SOLUSDT,1674316800016,0.00010000,
SOLUSDT,1674345600000,0.00010000,
SOLUSDT,1674374400000,0.00010000,
SOLUSDT,1674403200023,0.00010000,
SOLUSDT,1674432000014,0.00010000,
SOLUSDT,1674460800014,0.00010000,
SOLUSDT,1674489600016,0.00010000,
SOLUSDT,1674518400008,0.00010000,
SOLUSDT,1674547200008,0.00013079,
SOLUSDT,1674576000000,0.00010000,
SOLUSDT,1674604800012,0.00010000,
SOLUSDT,1674633600000,0.00001239,
SOLUSDT,1674662400010,0.00010000,
SOLUSDT,1674691200010,0.00010000,
SOLUSDT,1674720000003,0.00010000,
SOLUSDT,1674748800020,0.00010000,
